kat,tohum,dis_test_merkez,yontem,n,dogruluk,brier,duyarlilik
2,42,2,platt,50,0.8755555555555555,0.16700129210948944,0.8933333333333333
2,42,2,esik_dis,100,0.86,0.22257982194423676,0.8933333333333333
2,42,2,platt,100,0.86,0.15807688236236572,0.8933333333333333
2,42,2,esik_dis,200,0.8922222222222222,0.22257982194423676,0.8933333333333333
2,42,2,platt,200,0.8922222222222222,0.1504586637020111,0.8933333333333333
2,42,2,esik_dis,400,0.8977777777777778,0.22257982194423676,0.8933333333333333
2,42,2,platt,400,0.8977777777777778,0.1436261534690857,0.8933333333333333
2,43,2,ic_tavan,0,0.8922222222222222,0.12454505264759064,0.8844444444444445
2,43,2,esik_ic,0,0.8522222222222222,0.15062110126018524,0.8133333333333334
2,43,2,esik_dis,20,0.8544444444444445,0.15062110126018524,0.8133333333333334
2,43,2,platt,20,0.8544444444444445,0.15492618083953857,0.8133333333333334
2,43,2,esik_dis,50,0.8288888888888889,0.15062110126018524,0.8133333333333334
2,43,2,platt,50,0.8288888888888889,0.12994784116744995,0.8133333333333334
2,43,2,esik_dis,100,0.8544444444444445,0.15062110126018524,0.8133333333333334
2,43,2,platt,100,0.8544444444444445,0.12755143642425537,0.8133333333333334
2,43,2,esik_dis,200,0.8544444444444445,0.15062110126018524,0.8133333333333334
2,43,2,platt,200,0.8544444444444445,0.12720797955989838,0.8133333333333334
2,43,2,esik_dis,400,0.8544444444444445,0.15062110126018524,0.8133333333333334
2,43,2,platt,400,0.8544444444444445,0.12647219002246857,0.8133333333333334
2,44,2,ic_tavan,0,0.9288888888888889,0.05022888258099556,0.9577777777777777
2,44,2,esik_ic,0,0.7544444444444445,0.3113568127155304,0.84
2,44,2,esik_dis,20,0.81,0.3113568127155304,0.84
2,44,2,platt,20,0.81,0.2156783789396286,0.84
2,44,2,esik_dis,50,0.8655555555555555,0.3113568127155304,0.84
2,44,2,platt,50,0.8655555555555555,0.1973872184753418,0.84
2,44,2,esik_dis,100,0.8655555555555555,0.3113568127155304,0.84
2,44,2,platt,100,0.8655555555555555,0.1880054771900177,0.84
2,44,2,esik_dis,200,0.8766666666666667,0.3113568127155304,0.84
2,44,2,platt,200,0.8766666666666667,0.17934605479240417,0.84
2,44,2,esik_dis,400,0.8655555555555555,0.3113568127155304,0.84
2,44,2,platt,400,0.8655555555555555,0.17253482341766357,0.84
3,42,3,ic_tavan,0,0.9433333333333334,0.036709077656269073,0.9866666666666667
3,42,3,esik_ic,0,0.9288888888888889,0.053700875490903854,0.9444444444444444
3,42,3,esik_dis,20,0.8666666666666667,0.053700875490903854,0.9444444444444444
3,42,3,platt,20,0.8666666666666667,0.09967020899057388,0.9444444444444444
3,42,3,esik_dis,50,0.9088888888888889,0.053700875490903854,0.9444444444444444
3,42,3,platt,50,0.9088888888888889,0.09138813614845276,0.9444444444444444
3,42,3,esik_dis,100,0.9088888888888889,0.053700875490903854,0.9444444444444444
3,42,3,platt,100,0.9088888888888889,0.07995323836803436,0.9444444444444444
3,42,3,esik_dis,200,0.9277777777777778,0.053700875490903854,0.9444444444444444
3,42,3,platt,200,0.9277777777777778,0.07838206738233566,0.9444444444444444
3,42,3,esik_dis,266,0.9244444444444444,0.053700875490903854,0.9444444444444444
3,42,3,platt,266,0.9244444444444444,0.07887224853038788,0.9444444444444444
3,43,3,ic_tavan,0,0.92,0.06036050617694855,0.9488888888888889
3,43,3,esik_ic,0,0.9211111111111111,0.06681936234235764,0.9222222222222223
3,43,3,esik_dis,20,0.9133333333333333,0.06681936234235764,0.9222222222222223
3,43,3,platt,20,0.9133333333333333,0.14619816839694977,0.9222222222222223
3,43,3,esik_dis,50,0.9133333333333333,0.06681936234235764,0.9222222222222223
3,43,3,platt,50,0.9133333333333333,0.1195717379450798,0.9222222222222223
3,43,3,esik_dis,100,0.8944444444444445,0.06681936234235764,0.9222222222222223
3,43,3,platt,100,0.8944444444444445,0.10242297500371933,0.9222222222222223
3,43,3,esik_dis,200,0.91,0.06681936234235764,0.9222222222222223
3,43,3,platt,200,0.91,0.09237182140350342,0.9222222222222223
3,43,3,esik_dis,266,0.8944444444444445,0.06681936234235764,0.9222222222222223
3,43,3,platt,266,0.8944444444444445,0.090777687728405,0.9222222222222223
3,44,3,ic_tavan,0,0.9355555555555556,0.054757457226514816,0.9711111111111111
3,44,3,esik_ic,0,0.9055555555555556,0.058136869221925735,0.9177777777777778
3,44,3,esik_dis,20,0.9355555555555556,0.058136869221925735,0.9177777777777778
3,44,3,platt,20,0.9355555555555556,0.1271577924489975,0.9177777777777778
3,44,3,esik_dis,50,0.9244444444444444,0.058136869221925735,0.9177777777777778
3,44,3,platt,50,0.9244444444444444,0.09159346669912338,0.9177777777777778
3,44,3,esik_dis,100,0.9244444444444444,0.058136869221925735,0.9177777777777778
3,44,3,platt,100,0.9244444444444444,0.08937256038188934,0.9177777777777778
3,44,3,esik_dis,200,0.9244444444444444,0.058136869221925735,0.9177777777777778
3,44,3,platt,200,0.9244444444444444,0.08242953568696976,0.9177777777777778
3,44,3,esik_dis,266,0.9122222222222223,0.058136869221925735,0.9177777777777778
3,44,3,platt,266,0.9122222222222223,0.08609592169523239,0.9177777777777778
4,42,4,ic_tavan,0,0.9333333333333333,0.05060815438628197,0.9666666666666667
4,42,4,esik_ic,0,0.8011111111111111,0.08619476109743118,0.8822222222222222
4,42,4,esik_dis,20,0.8922222222222222,0.08619476109743118,0.8822222222222222
