kat,tohum,dis_test_merkez,kol,ic_auc,auc,dogruluk,duyarlilik_ozg90,brier
2,43,2,taban,0.9670469135802469,0.934004938271605,0.8522222222222222,0.8133333333333334,0.15062110126018524
2,43,2,esik200,,0.934004938271605,0.8544444444444445,0.8133333333333334,0.15062110126018524
2,43,2,bn100,0.8138370370370369,0.9313432098765432,0.8366666666666667,0.8377777777777777,0.18585661053657532
2,43,2,bn_tam,0.9319654320987655,0.9659333333333332,0.8588888888888889,0.9022222222222223,0.08200473338365555
2,43,2,bn_tam+esik,,0.9659333333333332,0.9022222222222223,0.9022222222222223,0.08200473338365555
2,44,2,taban,0.9842172839506172,0.9474864197530863,0.7544444444444445,0.84,0.3113568127155304
2,44,2,esik200,,0.9474864197530863,0.8766666666666667,0.84,0.3113568127155304
2,44,2,bn100,0.8955111111111111,0.9419506172839507,0.8711111111111111,0.8577777777777778,0.26101142168045044
2,44,2,bn_tam,0.9764938271604939,0.984320987654321,0.9022222222222223,0.9533333333333334,0.04623372480273247
2,44,2,bn_tam+esik,,0.984320987654321,0.9311111111111111,0.9533333333333334,0.04623372480273247
3,42,3,taban,0.9921925925925925,0.9685135802469137,0.9288888888888889,0.9444444444444444,0.053700875490903854
3,42,3,esik200,,0.9685135802469137,0.9277777777777778,0.9444444444444444,0.053700875490903854
3,42,3,bn100,0.9762271604938272,0.9725382716049382,0.92,0.9488888888888889,0.058373499661684036
3,42,3,bn_tam,0.9762148148148148,0.9648172839506172,0.92,0.9244444444444444,0.12100472301244736
3,42,3,bn_tam+esik,,0.9648172839506172,0.8911111111111111,0.9244444444444444,0.12100472301244736
3,43,3,taban,0.9809037037037037,0.9666666666666667,0.9211111111111111,0.9222222222222223,0.06681936234235764
3,43,3,esik200,,0.9666666666666667,0.91,0.9222222222222223,0.06681936234235764
3,43,3,bn100,0.9562469135802469,0.972562962962963,0.9388888888888889,0.9422222222222222,0.05841923877596855
3,43,3,bn_tam,0.9683506172839506,0.9589827160493827,0.9133333333333333,0.9155555555555556,0.10668350011110306
3,43,3,bn_tam+esik,,0.9589827160493827,0.8888888888888888,0.9155555555555556,0.10668350011110306
3,44,3,taban,0.9887851851851852,0.9640246913580247,0.9055555555555556,0.9177777777777778,0.058136869221925735
3,44,3,esik200,,0.9640246913580247,0.9244444444444444,0.9177777777777778,0.058136869221925735
3,44,3,bn100,0.9519901234567901,0.9673333333333333,0.8833333333333333,0.9377777777777778,0.05727662146091461
3,44,3,bn_tam,0.9813358024691358,0.9518,0.8855555555555555,0.8911111111111111,0.12472152709960938
3,44,3,bn_tam+esik,,0.9518,0.88,0.8911111111111111,0.12472152709960938
4,42,4,taban,0.9882814814814815,0.9627061728395062,0.8011111111111111,0.8822222222222222,0.08619476109743118
4,42,4,esik200,,0.9627061728395062,0.8922222222222222,0.8822222222222222,0.08619476109743118
4,42,4,bn100,0.36909135802469134,0.9612197530864196,0.8844444444444445,0.8622222222222222,0.24217966198921204
4,42,4,bn_tam,0.6648691358024692,0.9827753086419753,0.8322222222222222,0.9644444444444444,0.05688204616308212
4,42,4,bn_tam+esik,,0.9827753086419753,0.93,0.9644444444444444,0.05688204616308212
4,43,4,taban,0.9740888888888889,0.9613728395061728,0.86,0.8733333333333333,0.08354771882295609
4,43,4,esik200,,0.9613728395061728,0.8944444444444445,0.8733333333333333,0.08354771882295609
4,43,4,bn100,0.8828098765432099,0.9479654320987654,0.8711111111111111,0.8422222222222222,0.24231310188770294
4,43,4,bn_tam,0.940088888888889,0.9822123456790124,0.9088888888888889,0.9577777777777777,0.0564148873090744
4,43,4,bn_tam+esik,,0.9822123456790124,0.9333333333333333,0.9577777777777777,0.0564148873090744
4,44,4,taban,0.9271111111111112,0.9606913580246912,0.8811111111111111,0.88,0.08787886053323746
4,44,4,esik200,,0.9606913580246912,0.8877777777777778,0.88,0.08787886053323746
4,44,4,bn100,0.7883851851851853,0.9675407407407407,0.8655555555555555,0.8822222222222222,0.156193807721138
4,44,4,bn_tam,0.8602567901234568,0.9890172839506173,0.8311111111111111,0.9644444444444444,0.06284397840499878
4,44,4,bn_tam+esik,,0.9890172839506173,0.9411111111111111,0.9644444444444444,0.06284397840499878
